d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m
7.839196e-07,783.919598,1.048795e-07,3.39388201e-05,1.00003394e+00,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.896985e-07,789.698492,9.087362e-08,-9.79485444e-05,9.99902051e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
7.954774e-07,795.477387,7.873765e-08,-2.26806204e-04,9.99773194e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.012563e-07,801.256281,6.822203e-08,-3.50987227e-04,9.99649013e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.070352e-07,807.035176,5.911048e-08,-4.68929125e-04,9.99531071e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.128141e-07,812.814070,5.121558e-08,-5.79172848e-04,9.99420827e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.185930e-07,818.592965,4.437492e-08,-6.80380199e-04,9.99319620e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.243719e-07,824.371859,3.844777e-08,-7.71349456e-04,9.99228651e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.301508e-07,830.150754,3.331217e-08,-8.51029035e-04,9.99148971e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.359296e-07,835.929648,2.886243e-08,-9.18529047e-04,9.99081471e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.417085e-07,841.708543,2.500698e-08,-9.73130615e-04,9.99026869e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.474874e-07,847.487437,2.166646e-08,-1.01429288e-03,9.98985707e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.532663e-07,853.266332,1.877212e-08,-1.04165761e-03,9.98958342e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.590452e-07,859.045226,1.626437e-08,-1.05505144e-03,9.98944949e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.648241e-07,864.824121,1.409158e-08,-1.05448564e-03,9.98945514e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.706030e-07,870.603015,1.220903e-08,-1.04015357e-03,9.98959846e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.763819e-07,876.381910,1.057795e-08,-1.01242578e-03,9.98987574e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
8.821608e-07,882.160804,9.164747e-09,-9.71842915e-04,9.99028157e-01,1.500000e-01,3.141593e-07,1.200000e-01,5.000000e-08
