d_m,d_nm,chi_bulk,delta_F_over_F_Cas,F_over_F_Cas,eta,a_vac_imposed_m,kappa,xi_m,delta_joint_fit
6.163317e-07,616.331658,6.664378e-06,9.48416406e-08,1.00000009e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-7.96368925e-08
6.221106e-07,622.110553,5.777103e-06,8.11436217e-08,1.00000008e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-7.90629587e-08
6.278894e-07,627.889447,5.007795e-06,6.93962793e-08,1.00000007e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-7.65878685e-08
6.336683e-07,633.668342,4.340799e-06,5.93288695e-08,1.00000006e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-7.27478814e-08
6.394472e-07,639.447236,3.762532e-06,5.07070192e-08,1.00000005e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-6.79814231e-08
6.452261e-07,645.226131,3.261212e-06,4.33279806e-08,1.00000004e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-6.26420120e-08
6.510050e-07,651.005025,2.826615e-06,3.70165022e-08,1.00000004e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-5.70101801e-08
6.567839e-07,656.783920,2.449874e-06,3.16212299e-08,1.00000003e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-5.13043300e-08
6.625628e-07,662.562814,2.123298e-06,2.70115701e-08,1.00000003e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.56905069e-08
6.683417e-07,668.341709,1.840216e-06,2.30749532e-08,1.00000002e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.02911042e-08
6.741206e-07,674.120603,1.594842e-06,1.97144462e-08,1.00000002e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-3.51925381e-08
6.798995e-07,679.899497,1.382160e-06,1.68466696e-08,1.00000002e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-3.04519494e-08
6.856784e-07,685.678392,1.197819e-06,1.43999804e-08,1.00000001e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.61029999e-08
6.914573e-07,691.457286,1.038046e-06,1.23128877e-08,1.00000001e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.21608371e-08
6.972362e-07,697.236181,8.995697e-07,1.05326724e-08,1.00000001e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.86263051e-08
7.030151e-07,703.015075,7.795546e-07,9.01418524e-09,1.00000001e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.54894797e-08
7.087940e-07,708.793970,6.755415e-07,7.71880104e-09,1.00000001e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.27326043e-08
7.145729e-07,714.572864,5.853985e-07,6.61351031e-09,1.00000001e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.03324981e-08
7.203518e-07,720.351759,5.072775e-07,5.67013080e-09,1.00000001e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-8.26250678e-09
7.261307e-07,726.130653,4.395764e-07,4.86462409e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-6.49405734e-09
7.319095e-07,731.909548,3.809063e-07,4.17650412e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-4.99787650e-09
7.376884e-07,737.688442,3.300633e-07,3.58832607e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-3.74492370e-09
7.434673e-07,743.467337,2.860039e-07,3.08524526e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-2.70708599e-09
7.492462e-07,749.246231,2.478235e-07,2.65463725e-09,1.00000000e+00,8.000000e-02,3.141593e-07,1.200000e-01,5.000000e-08,-1.85767596e-09
