d_m,d_nm,d_hat,xi_m,z_hat,z_m,rho_norm,depletion
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.55138785e-02,2.77569392e-09,5.32324446e-02,9.46767555e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.60140035e-02,2.80070018e-09,5.37088179e-02,9.46291182e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.65141285e-02,2.82570643e-09,5.41851230e-02,9.45814877e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.70142536e-02,2.85071268e-09,5.46613598e-02,9.45338640e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.75143786e-02,2.87571893e-09,5.51375278e-02,9.44862472e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.80145036e-02,2.90072518e-09,5.56136268e-02,9.44386373e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.85146287e-02,2.92573143e-09,5.60896565e-02,9.43910343e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.90147537e-02,2.95073768e-09,5.65656166e-02,9.43434383e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,5.95148787e-02,2.97574394e-09,5.70415068e-02,9.42958493e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.00150038e-02,3.00075019e-09,5.75173268e-02,9.42482673e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.05151288e-02,3.02575644e-09,5.79930764e-02,9.42006924e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.10152538e-02,3.05076269e-09,5.84687551e-02,9.41531245e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.15153788e-02,3.07576894e-09,5.89443628e-02,9.41055637e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.20155039e-02,3.10077519e-09,5.94198992e-02,9.40580101e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.25156289e-02,3.12578145e-09,5.98953639e-02,9.40104636e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.30157539e-02,3.15078770e-09,6.03707567e-02,9.39629243e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.35158790e-02,3.17579395e-09,6.08460772e-02,9.39153923e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.40160040e-02,3.20080020e-09,6.13213253e-02,9.38678675e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.45161290e-02,3.22580645e-09,6.17965005e-02,9.38203500e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.50162541e-02,3.25081270e-09,6.22716026e-02,9.37728397e-01
1.000000e-07,100.000000,2.000000e+00,5.000000e-08,6.55163791e-02,3.27581895e-09,6.27466313e-02,9.37253369e-01
